question,label
What color is this jacket? What color is this jacket?,color
"Could you tell me what color these trousers are, please? Thanks.",color
What is this color?,color
"I know this is a shoe, could you tell me what color it is, please? Thank you.",color
What color is this stapler?,color
What color is this? ,color
"There's two items of clothing, hopefully, in this picture. One laid across the other.  Are they the same color?",color
"What color is this sweatshirt, please?",color
"What color, what color is the wallet?",color
What color is this shirt?,color
What color is this?,color
What color is this?,color
What color is the shirt?,color
What color is this sock?,color
What color is this?,color
What color are these?,color
What color is the shirt?,color
What color is the rope?,color
What color is this shirt?,color
What color are these shorts?,color
"What color is this, ehm ",color
What color is this jumper?,color
What color is the blanket in the picture?,color
What color are these pants? Thank you.,color
What color is my dog?,color
What color is this?,color
What color is my dog?,color
What color is this plant?,color
What color was that shirt?,color
What color is cup?,color
"I, I keep getting answers to questions I think is someone-else's. I am showing you a shirt. Can you tell me what color it is please?",color
What color is this ear-pods case?,color
What color is this?,color
What color is this?,color
What color are these shoelaces please?,color
IS this color black?,color
What color is this?,color
What's the color for this iPhone? Is it black or white?,color
What color is this?,color
What color is that and what brand if it says is that?,color
What is the color of the shirt?,color
What color is this?,color
Can you tell what color this dress is?,color
Which color?,color
What color is the shirt?,color
What color is this top?,color
What color is this?,color
What color is this?,color
What color is this carpet?  Please let me know if hear this question.  Thank you.,color
What color are these capris?,color
What color is this keyboard?,color
What is this? What color is this?,color
What color is this?,color
What color do you see on this wall?,color
What color is my pants?,color
What is the color of that phone?,color
What color is this shirt?,color
What color are in these sponges?,color
alright I am definitely colorblind.  I thought it was purple.  colorblind for a reason I guess,color
What color is the bear's shirt?,color
"I just wanted to find out if the vest looks nice with the shirt, what color the vest is, the shirt is, what design is on the shirt , or colors? Thank you very much for...",color
What color is this shirt?,color
What color is this shirt?,color
What color?,color
What color is this shirt?,color
What color is this shirt?,color
What color is this?,color
What color is this device?,color
What color is the arm band?,color
What color is this?,color
What color urine is this?,color
What color is the shirt?,color
What color are these socks?,color
I need to know what color these shoelaces are please.,color
Color is this t-shirt?,color
What is the color of the handle of this bag? What is the luggage tag?,color
"Okay, what is the color of this outfit? And is it spotted? Are there any spots on it?",color
What color is this top?,color
What color is this shirt?,color
What color is this guy's hair?,color
What color is this?,color
what color is this and what design is on it?,color
What color is my vest?,color
What color is this?,color
What color are these pants?,color
What color is this?,color
"Hello I need to know what color my dog's coat is. I don't know what it is, thanks.",color
What color is it?,color
What color is the headband?,color
What color is this floor question mark,color
What color is this shirt?,color
My shoes. What color are my shoes? What color are my shoes?,color
>What color is this product?,color
What color is this shirt?,color
What color are my pants?,color
What color are these sheets?,color
What color is this product?,color
What color is this bag?,color
"Hi, what color is this jacket?  ",color
What color is this shirt?,color
What color is the shirt?,color
What color is this?,color
What color are these pants?,color
What color is this tee shirt?,color
What color's this? Does it have checks or no?,color
What color is this?,color
What color laptop is that?,color
What color is the sweatshirt? ,color
What color is this?,color
What color are these pants?,color
What color is the tennis shoes please?,color
What color is this wall?,color
What is the color of the table cloth?,color
What color is that shirt?,color
What color is this?,color
What color is this shirt?,color
What's in the color?,color
What color is the keyboard?,color
What color are these socks?,color
What color is this?,color
Can you tell me what color the pants are that I'm wearing? They're just below the knee. I can't tell if they're- well I just don't know what color they are.,color
What color is the jacket and pants?,color
"Could you tell me what color this shirt is, please?",color
What color are these pants?,color
What color is it?,color
What's the color for this item? Black or white?,color
What color is this shoe?,color
what color is it,color
What color are these shoes?,color
What color is the shirt?,color
What color is this please?,color
What color is this shirt?,color
What color is it?,color
Can you please tell me what's the color?,color
What color is my shoe?,color
What color are these pants?,color
Color is this shirt? What color is my shirt?,color
What color is this shirt?,color
What color?,color
"Hi, what color is this shirt? Is it red and if so is it a solid color or does it have a pattern? Thanks.",color
What color is this please?,color
What color is the water bottle?,color
What color socks am I wearing?,color
What color is this plate?,color
Could you tell me what color the necklace is.,color
What color is this?,color
What is this color?,color
What color is this?,color
"What color is my sweater, please?",color
What color are the pin stripes of these pants and would they go well with this shirt I just took a picture of?,color
What colors are on this fabric?,color
What color is this?,color
What color is this shirt?,color
What color is this?,color
What color is this please?,color
"There should be two lines on this little device. What color are they? One might be much lighter than the other. Let me know that, as well.",color
What color is the wall?,color
What color is my hair?,color
Color is this,color
What color is this vase?,color
What color is this question mark?,color
What color is this clip?,color
What's the color of the dog?,color
what color is this?,color
What color is this?,color
"What color is this shirt, please?",color
What color am I pointing to?,color
"Hi, what color is this skirt please? Thank you.",color
What color are these clogs?,color
What color and any designs?,color
What color is this?,color
What color is this top?,color
What color is it?,color
What color is this ball of yarn?,color
What colors are in the pattern on this dress?,color
What color is this yarn?,color
What color is this?,color
What color is the shirt?,color
What color is this?,color
What is the color of this laptop?,color
What color is this?,color
What color skirt do I have?  Thank you.,color
What color are these panties?,color
What color is this?,color
Hello there I wanted to know what color pants this was. Im visually impaired and I wanna know.,color
What color is this polo shirt?,color
What color is this?,color
What colors are in this material?,color
What color are the ballerinas?,color
What color are my shoes?,color
What colors are in this shirt? Can you hear my question?,color
What color is the shirt?,color
What color is this seat? ,color
What color is this case? Thanks.,color
What color is this cardigan?,color
What color is this?,color
What color is the sweater?,color
What color is this shirt?,color
What are the colors from left to right?,color
"What color is the headband, please?",color
"okay, this is a different bracelet. can you please tell me what color this bracelet is? thank you .",color
What color is this?,color
What color is this?,color
what color are these boots,color
Hello I'm trying to label this wire. Can you please tell me what color this one is? Thank you.,color
What color is this polo shirt?,color
What color is this shirt?,color
what is the color of this shirt,color
What color is the comforter on my bed?,color
What color is this necklace?,color
What color is this shirt?,color
What color is this jumper?,color
What color is this?,color
What color are these sheets?,color
What color is the sky?,color
What color is my shirt and what does it say?,color
"What object is this? What object is this? It's in progress. It's in progress. The object, the color.",color
What colors are in the pattern on this dress?,color
What color is this shoe?,color
Which color is this?,color
What is the color of the cap of this bottle?,color
What color is this tie?,color
What is the color of the cap of this bottle?,color
What color is this suitcase? ,color
What color is this sock?,color
what color is this,color
What color is this?,color
What color is that shirt?,color
What color is this?,color
What color is my shirt and what does it say?,color
What color is this?,color
What color is this shirt?,color
"What color is that, please? What color is that, please?",color
Is the color of the liquid red or white?,color
Can you please tell me what color my shirt is?  THank you.,color
What color is this?,color
What color is this fabric?,color
What color is my hat what does it say on my hat,color
"What color is the iPhone on the table, black or white?",color
What color is this fleece?,color
What color are these pants?,color
What color is this shirt?,color
What color is this dog?,color
What is the color and does it have any writing on it?,color
What color is this?,color
What color is...,color
What color is this shirt?,color
How many color connectors on the back of that device,color
"Can you tell the color of the eye shadow, please?",color
"Please describe the pattern of this shirt, and the color",color
What color are my pants?,color
What color are these socks?,color
"PLease describe the colors of this shirt, thanks.",color
What color is this please? ,color
What color is this?,color
I asked: what color are these nails?,color
What color are these pants?,color
What colors are in this shirt?,color
What color is this fabric?,color
What color is this shirt?,color
What color is this?,color
What color is this?,color
What color is this yarn?,color
What color is this?,color
What color are my pants?,color
What color is this shirt?,color
What color is this shirt?,color
What color is this?,color
What color is the cat?,color
What color of beads are these please?,color
What is the color of this?,color
What color is this?,color
What color is this?,color
What color is this?,color
What color is my slipper?,color
What color pants are these?,color
What color is this shirt?,color
What color is this gift bag?,color
What color is this?,color
What is the color? ,color
What color is this?,color
What is color for the sink?,color
What color is this?,color
What color is this? ,color
What color is this shirt?,color
What color is this shirt?,color
What color are my pants and I have another question.  Is there a web worker looking a picture all day?,color
What color is this?,color
What color is this?,color
What color is this skirt?,color
What color is this skirt?,color
What color is the ceiling and how high do you think it is?,color
What color is this?,color
What is the color of this glasses?,color
Hello. Can you please tell me what color this skirt is that I just took a picture of? Thank you.,color
"Doesn't it say what the color the shoe polishes, like neutral, black? Doesn't it say the color, if it's neutral, black or brown or whatever on the cover?",color
What color if this dog?,color
What color is this shirt?,color
What color is this truck?,color
What color is my short and tie?,color
What color is my fan and is it on? Can you answer that question? Bye. Thank you.,color
What colors are in this shirt?,color
What colors are in the pattern in this dress?,color
What color is this?,color
What color is the shirt?,color
What color is this?,color
what color are these canisters?,color
What color is this please?,color
What color is the cloth?,color
What color is this fabric?,color
What color is this towel?,color
What color is the wire I'm pointing to?,color
What color is the sweatshirt?,color
What color is this fabric? Thank you.,color
What color's the jumper?,color
What color is the container in this picture?,color
What color is the screen on this ebook?,color
What color is my arm band?,color
What color is this?,color
"what colors are in this jacket, are they darker or lighter?",color
"Description this picture and color, thanks.",color
can you see his shirt? what color is the leaf?,color
What color is this scarf please?,color
What color are my socks?,color
What color is this?,color
what what color is this purse,color
What color is this?,color
What color is this? Thank you.,color
What color is it?,color
what is that and what color is it,color
What color is this?,color
What color is the shoe?,color
What color? What color is this shirt?,color
What color is this?,color
What color is that purse?,color
"Hi, what color are these shoes please? Thank you.",color
"Hello, tell me the color.",color
Could you please tell me what color this shirt is?  Thank you.,color
What color is this yarn?,color
What color shirt was that?,color
What color is this?,color
What color is this?,color
What is this item and what color is it?,color
What color is this shirt?,color
What color is this pant?,color
What color is this dresser?,color
What is the color of this mouse?,color
What color is it?,color
What color shirt is this?,color
What color is this? Is it recording? Shoot.,color
What color is the inside of these sneakers?,color
... color is this shirt. What color is this shirt?,color
Can you please tell me the color of this shirt please and what it says across the front.,color
"If there's a phone in this picture, can you tell me what color it is?",color
"Okay this is my last try with this. Could you please tell me what the color of this outfit is, that she's wearing?",color
What color is that?,color
What color is this?,color
What color is my shirt?,color
What does my shirt say and what color is it?,color
What color is this?,color
What color is that shirt?,color
"Please describe this bag, color and pattern. Thank you.",color
What color is this?,color
Can you tell me what flavor this Gevalia coffee is?  WHat's the color of it.  If the camera is too close let me know.,color
What color is this shirt?,color
What are the colors and designs of this skirt?,color
What color is this wall?,color
What it this and what color is it?,color
What color is this,color
What color is this cushion?,color
What color is this ?,color
What color is the shirt?,color
Which color has this thing?,color
"Color is that, what color is that?",color
What color is the dresser?,color
What color is this?,color
What color are you?,color
What color shirt am I wearing?,color
"Descriptions this, pictures in color please.",color
What color is the phone?,color
What color is this in this picture?,color
What color is this shirt?,color
What color is this?,color
What color is this fan?,color
What color is this jumper?,color
How color is it in the dark?,color
What color are these socks?,color
"Hi, are you able to tell me what's written on the front of this t-shirt, and the color of the t-shirt?",color
What color is this?,color
What color is my cat?,color
What is this color?,color
"Could you tell me what color this is, please?",color
What color is this?,color
Read the things on the box under the box and tell me which color.,color
What color is this shirt?,color
What color is this shirt?,color
"I'm not sure if this is, but I'd like to know what color this string of beads is.",color
What color is this?,color
What is the color of the pants?  What color are these pants?,color
What's the color?,color
What color is this hat and does it say anything?,color
What color is this shirt?,color
What color is this yarn?,color
What color is this hat?,color
"What is, what is the color of this door? Please.",color
What color is that?,color
Could you please tell me what it is and what color is it?,color
What color is this (inaudible) please?,color
Hi. Please could you describe the color of these jeans to me please?,color
What color is this?,color
What color is the door?,color
What color is this shirt?,color
What color is this?,color
What color is this?,color
"Okay, sorry about that. Let's try again. I'd like to know the color of this jacket. Thank you.",color
What color is it?,color
What color does this wine have?,color
What color is this?,color
What color is the shirt?,color
What color is my shirt?,color
"What color are these pants, I know they're either blue or beige.",color
"What color is this shirt, and what is the logo shown on it?",color
What color is this counter-top? ,color
What color is my netbook?,color
What color and design is this comforter?,color
What color is this?,color
What color is this?,color
What color is this shirt?,color
What color is this shirt?,color
"hi there, I'm not sure if my question's not coming through properly, I wasn't asking the color. I am looking for the temperature ranges going from left to right on the dial. It should be in the picture of the slow cooker. Thank you. ",color
What color are these capris?,color
What color is this material?,color
What is the color?,color
What color is that shirt?,color
What color is this?,color
What color is this?,color
What color blue would you say the sky was in this photo? Like the color of water?,color
what color is the shirt?,color
What color is this shirt?,color
What color is this?,color
What color is this sweater?,color
What color is this?,color
What color is this dress? We'll see. Is there a way to check that? It keeps asking me. I think I screwed something up when I put skype on. I ,color
What color are those shoes?,color
What color is this?,color
What color is this tie?,color
What color is this top?,color
"What color is this shirt, please?",color
What is that color?,color
What color is this fabric?,color
What color are these shorts?,color
WHAT COLOR IS THIS SHIRT?,color
What color is my shirt?,color
What color is this?,color
Is this clear enough to tell if this is mineral veil or all over face color? Thank you,color
"What color is it, please?",color
What color is this necklace please? Thank you.,color
"Hi, can you tell me please what color this t-shirt is?  Thank you.",color
What color is the sofa?,color
What hair color does this person have?,color
What color is this shirt?,color
What color are these overalls?,color
What color is this shirt?,color
What color is this rope?,color
What is the color of this?,color
What color is this? Thank you.,color
What color is this shirt?,color
What color is this?,color
what color is this shirt?,color
"What color is this shirt, and does it have any writing on it that you can tell?",color
What color is this jumper?,color
What color is this? Thank you.,color
What color are these pants?,color
What color is this garment?,color
what color is the shirt?,color
What color is this polo shirt?,color
What color is my shirt?,color
Does the color of this pom pom go with the color of this hat?,color
What is the color of this thing?,color
"What color is this please? And there might be a small pattern in it, is that true and what is it? Thank you",color
What color is this pants?,color
What color and is there any designs.,color
What color is this hat?,color
What kind of hat is this and what color is it and what sports team does it belong to? Thank you I really appreciate it.,color
Color is the light. ,color
What is the color of this garment and style?,color
What color is this bottle?,color
"what color is that, please?",color
What color is this plant? Quick enough.,color
What's the color?,color
What color is this skein of yarn?,color
What color is this shirt?,color
What color is this man's pants.,color
What color is this?,color
what color is my hair?,color
Could you describe the color of this necklace? Thank you.,color
What color is this?,color
What color is this?,color
What color is this polo shirt?,color
What color exactly is this? It's Gatorade but what color is it?,color
What color is this?,color
What color is this jacket?,color
what color is my aunts shirt?,color
"Hi, could you tell me what color this pet holder for this copy machine is? Because on the bag it says it;s the purple one, but I don't think this one is purple. ",color
What color is this shirt?,color
What color is this shirt?,color
What color is this?,color
Can you tell me what color this is please? Thanks.,color
Which color is this shirt please?,color
What color is this nail polish?,color
What color is this shirt?,color
What color is this?,color
What color is that?,color
What color is this outfit? Thank you.,color
What color is this script?,color
What color is this?,color
What color are my shorts?,color
What color is this?,color
What color is this duvet?,color
What color is this?,color
Tell me please the color of this shirt.,color
What color is this shoe? ,color
What color is this?,color
What color is this?,color
What color is my guide dog?,color
What color is the cloth?,color
Can you tell me please the color of this shirt.,color
What color is the shirt?,color
What color is this?,color
What color is this piece of paper?,color
What color is my shirt?,color
What color is this?,color
What are the colors int his sweater?,color
What color is this?,color
What color is the dog?,color
What color is this?,color
What color is this bag?,color
What color?,color
Can you tell me what color this shirt is that I just took a picture of please? Thank you.,color
What's this color?,color
What is the color of the sky in this picture?,color
What color shirt is this?,color
What color is this sweater?,color
What is the color?,color
"Can you, can someone tell me what color this stuffed animal is? ",color
What color are my pants?,color
What color is the shirt that I'm holding?,color
What color are the stripes on this shirt?,color
What color is my wallet?,color
What color is that please. ,color
What color is this shirt?,color
Can you please tell me what color that is?,color
What colors are in this purse? ,color
What color paint is on the wall? Thank you.,color
What color is this?,color
What color is this?,color
What color is this bath robe?,color
What color is this?,color
What color is this?,color
"Hi, could you tell me as much as possible about the color of this hairpiece? Thank you very much.",color
What color is that?,color
Can you tell me what color this is?,color
What color is this?,color
What color is the shoe?,color
What color is this?,color
What's the color of shirt?,color
What color is this shirt?,color
What color is it? ,color
What color is my shoe?,color
What color are these pants?,color
What color is the shirt that I'm holding up?,color
What color is this?,color
What color is this shirt and can you hear me?,color
What color is this shirt?,color
What color is it?,color
What color is this woman's top?,color
What color is this shirt?,color
What color jacket is this?,color
What color is this blouse? ,color
What color are the walls?,color
"What color is this shirt, please?",color
"I don't know what, I know this is a package of tights, but I do not know what color they is, are they blue or black?",color
what color is this?,color
What color and what shade of color is this phone case?,color
what color is this pencil?,color
What color is this necklace?,color
What color is this shirt?,color
Pattern and color of this dress shirt please.,color
What color of wall would match?,color
What color is this shirt?,color
Can you please tell me what color that is?,color
What color is my vest?,color
What is the color of that wall?,color
What color are my pants? ,color
what color is that trousers?,color
what color is this?,color
What color is this?,color
What color is this?,color
What color is this skirt?,color
What color is this shirt?,color
What color are these pants? Thank you. ,color
What color is this cup and what does it have in it? Thanks.,color
Can you tell me what color is the shirt? Please.,color
What color are these two connectors?,color
What is this and what color is it?,color
What color are these socks? Are they nude or are they another color?,color
What color is this hair ribbon,color
What color do you see?,color
What color is this jacket?,color
What is this and what color is it?,color
What color is this?,color
"Shirt below, sweater above, what color is the shirt and sweater, do they match? Thank you. ",color
What color is the shirt?,color
What color is this?,color
De que color es?,color
What color is this bracelet?,color
What color is this? Thank you.,color
What color is this?,color
what color is this,color
What's the color of this frock,color
What colors is my iPad?,color
What is the color and status of the LED?,color
What is the color of this jacket?,color
Could you tell me what color this shirt is please?,color
What is the color shown in the picture?,color
What color is this microphone and who is the manufacturer?,color
Describe the garment and the color.,color
What color is the sweater?,color
What color is this package? Thanks. ,color
What color is that please?,color
What color are these headphones?,color
what color are these pants?,color
What color is this shirt?,color
What color is the sarong?,color
What color?,color
What color are these headphones?,color
What is the color of the cap of this bottle?,color
What color is this yarn?,color
What color is this t-shirt?,color
What is the color of this t-shirt?,color
Color is this shirt?,color
what color Christmas ornament is in this box?,color
What color is this?,color
what color is this?,color
What color is this?,color
What is the color of the glass and the frame.,color
What color is this shirt?,color
What color is that please?,color
Color is the handle on this bag?,color
What color are these?,color
What is the color of this?,color
What color are the shoes?,color
What color is this shirt? Color.,color
Can you tell me what color this top is please?,color
What color is this? ,color
What color is that? What color is that?,color
The color is?,color
What color is this yarn?,color
What color is this shirt?,color
What color is this?,color
What color is this shirt?,color
What color is this hat?,color
What color is the cloth?,color
What is that color of her red lip?  Tell me about all the color contained.,color
WHAT COLOR IS THIS?,color
The color.,color
What color are these pants?,color
What color are these capris?,color
What color is this shirt?,color
Color of this top?,color
What color is this shirt?,color
what color is the floor?,color
What color is this keyboard?,color
What color is this thing?,color
What color is this?,color
"what color is this shirt, thank you?",color
Color of the flower.,color
"What color is this bag? It takes a little while. Well, because I just asked it what color.",color
What color?,color
What color is this wire I'm pointing to?,color
Can you see what color pants I'm wearing in the picture or do I need to take another photo?,color
What color are those shorts?,color
What color is my top?,color
What color are these pants?,color
What color is this?,color
What color is this? thank you.,color
What col...  What color is this shirt?,color
What color is the nail polish?,color
What color are the potatoes?,color
What colors are this?,color
what color is this?,color
What color are these pants?  ,color
"What the colors of this shirt, and what does the logo say?",color
"What, uh, color is this? Is this dark green or blue, and what color might match best with this color?",color
what color is this char please,color
What color is this table? Brown.,color
What color are these pull outs?,color
What the color is?,color
What color is this shirt?,color
What color are the flowers?,color
What color is this shirt?,color
Color of shirt.,color
What color is the tapestry?,color
What color is the shirt?,color
What color is this,color
What color is this purse?,color
What color?,color
What color is this ?,color
What color are the ropes from top to bottom?,color
"What does this t-shirt look like, color and picture?",color
What color is this?,color
What color is this slip?,color
What color is this shirt?,color
"is this a fan, and what color is it?",color
What color is this?,color
"What color is this shirt please, thank you.",color
What color is this?,color
"What color are the pearls I just took a picture of, please? Thank you.",color
What color is it? What is this object?,color
Speaker:  What color is my shirt?,color
What color is this shirt?,color
What color is this?,color
What color is this pot?,color
What color is the towel?,color
What color is this?,color
What color is this sweatshirt?,color
What color is my floor? ,color
What color is the strap on this thong sandal?,color
What color? ,color
What color are these pants?,color
Curious what types of pants these are and what color they are? Can you tell? Thank You.,color
What color are my pants?,color
Still looking at same trousers but my question is now will this different color polo shirt still go with these trousers?,color
What color is this?,color
What color is this?,color
What color is this?,color
What color is my sock?,color
What color is this?,color
what color is this,color
What color is my shirt?,color
What color is the keyboard?,color
What color is this shirt?,color
What color is this?,color
What color and design is on this pillow?,color
what color are these pants?,color
What is the main color of this shirt?,color
"If you can see the shirt, what color is it?",color
Ok. What color is my dog? ,color
What color is this ...?,color
Can you describe the color and pattern of this wrapping paper please?,color
What color is this shirt?,color
What color is this yarn?,color
What color is this?,color
What color is this bag?,color
What color are my shorts?,color
what color is that wall?,color
What color is this? ,color
"What color, and is it dressy?",color
what color is this?,color
What color is this shirt,color
What color are the clouds you see in the picture?,color
What color is this refrigerator?,color
Do these colors look good together? Thank you.,color
What color is my shirt?,color
What color is my hair?,color
What color is this luggage and what color is the ribbon on the handle? Thank you.,color
What is this? And what color is it?,color
Clouds in the sky in this picture and if so what color are they and what do they look like?,color
is my light on? and what color is my lampshade?,color
"What color is this yarn, please?",color
"What color, what color is the mug?",color
What color is it.,color
What color is this shirt?,color
What color is this device?,color
What color is this shirt?,color
What is color?,color
"What color is my mug? Right now it's thinking. So is it an actual person that's doing it? Their, so their. ",color
what color is the sun,color
What color is my dog?,color
Whar color is this shirt?,color
"Uncle mickey wants to know what the colors are and what this looks like, its  psychedelic rainbow, I know its a black shirt. Please let us know. ",color
What color is my shirt?,color
what color is the pen?,color
What color is this yarn?,color
What color is the car across the street?,color
"In this picture, I want to know the color and brand of the piece of clothing that is being shown.",color
What color is this shirt?,color
Is there a car out there and what color is it?,color
what color is this shirt?,color
What color is this band?,color
What's the color?,color
What color is this shirt?,color
What is the color I have in my hand?,color
What color is this?,color
Can you tell me the color please?,color
What's the color for this laptop?,color
What is this item?,object
what is this?,object
What is this? ,object
What is this game?,object
What is this movie?,object
What is this a picture of?,object
What is this?,object
"What is this? No, wait.",object
What is this spice?,object
"What is this, please?",object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this a picture of?,object
What is this?,object
What is this in front of me?,object
What is this,object
What is this island?,object
What is this?,object
What is this?,object
What is this bottle?,object
"What is this, please?",object
What is this?,object
What is this?,object
What is this please?,object
What is this?,object
What is this item?,object
What is this a picture of?,object
What is this?,object
What is this? ,object
What is this?,object
What is this tablet please?,object
What is this picture on my shirt?,object
What is this?,object
Please tell me what is this picture?,object
What is this bottle?,object
what is this coin? ,object
What is this?,object
What is this?,object
What is this?,object
What? What is this?,object
What is this?,object
What is this?,object
What is this CD?,object
What is this item.,object
What is this photo?,object
What is it,object
What is this?,object
What is this,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this an image of? ,object
What is this bottle?,object
What is this?,object
What is this?,object
What is this bag? ,object
What is this product?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this? What is this?,object
What is that? Or what is this?,object
What is this product?,object
What is this a can of?,object
What is this chair?,object
Is the name of this item showing and what is it?,object
What is this?,object
What is this bottle?,object
"What is this?  Yeah, I can't it though.  It vibrated.  Let's see.  It",object
What is this snack?,object
What is this?,object
What is this?,object
What is this? ,object
What is this?,object
What is this can?,object
What is this and what is your favorite baseball team?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is it?,object
What is it,object
What is this?,object
What is this brand name?,object
What is this?,object
What is this?,object
What is this item?,object
What is this? What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
make hold. what is this? in progress... make hold ,object
What is this image?,object
What is this?,object
What is this?,object
What is this CD?,object
What is this item,object
What is this?,object
What is this?,object
What is this?,object
"What is this canned good, please?",object
What is this meal?,object
What is this?,object
What is this?,object
What is this item?,object
What is it?,object
What is this?,object
What is this bottle?,object
What is this and can I type a question in noisy environments?,object
"What is this, and what is it's color, and what shape is it, and where does it belong?",object
"What is this, and what is it's color, and what shape is it, and where does it belong?",object
>What is it?,object
What is it?,object
What is this?,object
What is this?,object
What is this message?,object
WHAT IS THIS?,object
What is this product?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this item?,object
What is this please?,object
What is this?,object
What is this package?,object
What is this?,object
What is this?,object
What is this?,object
What is this item?,object
What is this?,object
What is this item?,object
What is this item?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this object?,object
What is this?,object
What is this?,object
What is this product? ,object
What is this?,object
What is it?,object
What is this picture of?,object
What is this item?,object
What is this item? ,object
What is this?,object
What is this?,object
WHAT IS THIS?,object
What is this?,object
what is this?,object
What is this?,object
What is this a picture of?,object
What is this food item?,object
What is this?,object
What is this? ,object
What is this?,object
What is it?,object
What is this?,object
What is this?,object
What is it?,object
what is this?,object
What is it?,object
What is this?,object
What is this object?,object
What is it?,object
What is this object?,object
"What is this, please?",object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this spice?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this item?,object
What is this dough?,object
What is it? ,object
What is this?,object
What is this?,object
Didn't work. What is it?,object
What is this?,object
what is this?,object
what is this?,object
"What is it, and what is the color? Thank you.",object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this item?,object
What is this can?,object
What is this?,object
What is this?,object
What is this?,object
What is this? ,object
What is this item?,object
What is this?,object
What is this?,object
What is this?,object
What is this item?,object
What is this thing?,object
what is this,object
What is this item?,object
What is this?,object
What is this object?,object
What is this?,object
what is this product?,object
What is this?,object
what is this?,object
What is this?,object
What is this please?,object
What is this lapel pen?,object
What is this?,object
What is this for a t-shirt?,object
What is this?,object
What is this?,object
What is this item?,object
What is it? ,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
what is this?,object
What is this?,object
What is this object?,object
what is this product?,object
"Testing, What is this?",object
what is this,object
What is it?,object
What is this product?,object
What is this?,object
What is this?,object
"What is this, please?",object
What is this?,object
What is this please?,object
What is this bottle?,object
What is this?,object
"What is this, please?",object
What is this?,object
What is this item,object
What is this,object
What is this?,object
What is this?,object
what is this?,object
What is this?,object
What is this bottle?,object
What is this?,object
What is this?,object
What is this can?,object
What is this?,object
What is this?,object
What is this?,object
What is this item?,object
What is this a picture of? What is this a picture of - a guy with a cane in his hand.,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
"I hope I have this thing in the right direction, but what is this item?",object
What is this?,object
What is this please?,object
What is this item?,object
What is this item?,object
what is this,object
What is this?,object
What is this?,object
What is this?,object
What is this logo?,object
What is this item?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this bottle?,object
What is this?,object
What is this food item?,object
What is this thingee?,object
What is this?,object
What is this bottle?,object
What is this? Just ask what is that? ,object
What is this?,object
what is this?,object
What is this?,object
What is this,object
What is this?,object
What is this product and how do you use it?,object
Is this? What is this?,object
What is this item?,object
What is this? Oh let's see what it tells me.,object
What is this item?,object
What is it and what color is it?,object
What is this object?,object
what is this?,object
What is this?,object
what is this?,object
What is this?,object
What is this? What is this?,object
What is it?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this movie?,object
what is this please?,object
What is this?,object
What is this?,object
What is this a picture of please? thank you.,object
what is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is it?,object
What is this?,object
What is this?,object
what is this ,object
What is it?,object
What is this?,object
What is this item?,object
What is this?,object
What is this thing and what is the color?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this device?,object
What is this logo on this cap?,object
What is this and does it have a flavor or description?,object
What is this card? ,object
What is this?,object
What is this?,object
What is this?,object
What is this item?,object
what is this?,object
What is this?,object
What is this image?,object
What is this?,object
What is this product?,object
What is this and the color?,object
What is this?,object
What is it?,object
What is this?,object
What is this item?,object
What is this?,object
What is this? What is this?,object
What is this?,object
What is this please?,object
"This is a test to see how well this works and if it's something that I can use. So I'm asking, what is this top box?",object
What is this DVD?,object
What is this?,object
What is this?,object
What is it?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this product?,object
What is this can?,object
What is this?,object
What is this?,object
What is this?,object
What is this brand?,object
I'd like to know what is this box of?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this currency?,object
What is this?,object
What is this?,object
What is this?,object
What is this item?,object
What is this?,object
what is it?,object
What is this?,object
What is this?,object
What is this?,object
What is this object?,object
What is this?,object
What is it?,object
What is this?,object
What is this?,object
What is it?,object
What is this product?,object
What is this?,object
What is it?,object
What is this item?,object
What is this?,object
what is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this in my hand?,object
What is this product?,object
What is this?,object
What is this?,object
What is this?,object
What is this?,object
What is this scent from Bath and Body Works?,object
